MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
127.3275,207.7979,116.3469,0.0024,0.0001,0.0134,0.0156,0.0029,0.0172,0.6208,0.0512,0.0063,0.0984,0.1441,0.1032,18.3159,0.3428,0.6665,-6.3079,0.4433,3.31,0.1421
177.0625,102.9533,180.5015,0.0263,0.0,0.0109,0.0026,0.0497,0.08,0.4009,0.0416,0.0629,0.1317,0.1496,0.0951,21.4516,0.5023,0.6932,-4.3562,0.4427,3.5567,0.2683
168.6055,476.2917,185.2618,0.0074,0.0002,0.0135,0.0108,0.0402,0.0746,0.7409,0.0394,0.0594,0.1231,0.1249,0.0753,16.6958,0.6481,0.7884,-5.0304,0.2396,2.5186,0.1969
128.3197,568.6061,146.2547,0.0139,0.0001,0.0194,0.0053,0.0175,0.0994,0.4719,0.0376,0.037,0.0687,0.1002,0.3054,26.7587,0.6385,0.768,-5.6501,0.29,3.5845,0.3712
174.0733,502.2704,196.8803,0.0267,0.0001,0.0212,0.0105,0.0068,0.0887,0.9597,0.0049,0.0076,0.1258,0.127,0.2664,23.8805,0.4164,0.666,-2.9601,0.3419,1.8731,0.2243
155.2504,365.6626,171.9913,0.0123,0.0002,0.0046,0.0183,0.029,0.051,1.0419,0.0231,0.0109,0.0694,0.0839,0.0611,10.9608,0.6712,0.5944,-5.323,0.1297,2.2186,0.0978
139.9749,339.4579,82.5024,0.0032,0.0002,0.0077,0.0011,0.0156,0.0679,0.6697,0.0064,0.0273,0.0554,0.1475,0.214,18.6113,0.577,0.6445,-5.1161,0.2242,2.4998,0.4168
177.9839,108.8072,85.4181,0.031,0.0001,0.0012,0.0115,0.0233,0.0532,1.2419,0.0555,0.0113,0.1024,0.1014,0.2718,17.8896,0.3987,0.5866,-2.7389,0.4078,2.2343,0.3653
204.8333,553.17,109.1093,0.0306,0.0001,0.0193,0.0055,0.0518,0.0498,0.5142,0.0055,0.0195,0.043,0.1076,0.0934,20.7438,0.6557,0.6838,-3.2369,0.3472,2.2175,0.5159
127.5714,485.2137,195.1793,0.0061,0.0002,0.0208,0.0154,0.0164,0.0218,0.2166,0.0556,0.0457,0.0519,0.0831,0.2307,8.807,0.5502,0.7111,-2.739,0.3612,2.0144,0.2078
127.2676,457.6411,67.53,0.0212,0.0002,0.0148,0.0074,0.0547,0.0877,0.1827,0.0234,0.0098,0.0936,0.1535,0.1193,16.8311,0.3549,0.6589,-5.9215,0.0682,2.7746,0.1451
148.7391,414.7378,141.3781,0.0053,0.0002,0.001,0.0122,0.0443,0.1024,0.2779,0.0249,0.0222,0.0705,0.1333,0.1799,27.3147,0.4381,0.7849,-7.0727,0.0754,3.0175,0.2475
144.8405,297.4484,84.1659,0.0271,0.0002,0.0061,0.0113,0.0382,0.1172,0.4911,0.0085,0.0134,0.0858,0.053,0.2518,24.6126,0.6561,0.8074,-3.7579,0.3707,2.0434,0.1673
112.4543,325.4108,69.141,0.0169,0.0001,0.0168,0.009,0.0422,0.0483,0.3165,0.0495,0.0461,0.0343,0.1539,0.2178,26.8715,0.2644,0.8115,-4.0395,0.3223,3.4228,0.1331
117.6544,238.9959,188.8413,0.0301,0.0001,0.0116,0.0194,0.0573,0.0218,1.2048,0.0531,0.0422,0.0997,0.0391,0.2804,11.4405,0.6544,0.6658,-6.8154,0.0793,1.8051,0.2238
215.7292,504.6024,167.7619,0.0047,0.0002,0.0037,0.0136,0.056,0.116,0.6728,0.0271,0.0606,0.1078,0.0914,0.2991,11.8708,0.3502,0.7066,-3.908,0.181,3.6571,0.1767
212.2398,233.4631,132.3136,0.0131,0.0002,0.0198,0.0019,0.0263,0.1179,1.006,0.03,0.0545,0.0577,0.0143,0.2816,17.3747,0.4744,0.6028,-6.6185,0.1958,3.5595,0.2221
218.4066,468.4274,175.7766,0.032,0.0001,0.019,0.0154,0.0495,0.0769,0.5906,0.0298,0.0773,0.1029,0.0453,0.1127,9.2883,0.3014,0.796,-2.9828,0.3606,2.4768,0.4491
96.5875,179.6534,136.9253,0.0028,0.0001,0.0077,0.0105,0.0449,0.1188,0.8304,0.0431,0.0755,0.0493,0.0785,0.2716,16.1328,0.4048,0.6623,-4.6406,0.2912,3.5112,0.1949
108.0378,229.8927,74.2848,0.0045,0.0002,0.0191,0.0084,0.0525,0.0905,0.2968,0.0356,0.0341,0.1258,0.0658,0.1549,17.4087,0.5769,0.7345,-3.0622,0.3484,2.5789,0.1954
209.5773,297.3301,104.1098,0.0269,0.0,0.0016,0.0127,0.006,0.0721,0.2328,0.0384,0.0691,0.0258,0.0952,0.0611,15.941,0.4061,0.6937,-4.9948,0.1566,2.4449,0.4865
184.3747,274.0702,174.6771,0.0229,0.0001,0.0142,0.0129,0.0367,0.1018,1.252,0.0467,0.0263,0.0138,0.0604,0.2733,9.4265,0.6802,0.6982,-5.8691,0.2994,3.6,0.5204
157.116,150.7166,91.1121,0.0152,0.0,0.0033,0.0044,0.0313,0.0412,0.1473,0.0195,0.0332,0.0277,0.167,0.2511,14.067,0.6447,0.7073,-6.3232,0.1263,2.3767,0.4086
112.9886,110.2623,178.6657,0.0019,0.0001,0.0062,0.0193,0.0317,0.1161,1.1652,0.036,0.0096,0.0419,0.1215,0.0138,17.7988,0.3125,0.7427,-2.5668,0.2591,3.013,0.2694
142.8222,408.0293,77.92,0.0293,0.0001,0.0034,0.015,0.0134,0.1158,1.2287,0.0471,0.0775,0.0827,0.0467,0.0626,26.8976,0.265,0.7375,-2.7063,0.3385,2.354,0.4013
212.008,118.3838,139.8579,0.0152,0.0001,0.0099,0.0087,0.0224,0.1037,1.0986,0.0318,0.058,0.0664,0.0898,0.0649,23.5116,0.6537,0.6205,-3.1248,0.1581,3.2143,0.3759
201.1289,302.9138,140.7143,0.0074,0.0001,0.0072,0.0039,0.0162,0.0984,1.168,0.0467,0.0715,0.0237,0.0267,0.2241,22.0955,0.6767,0.6481,-3.5247,0.4352,3.11,0.363
178.7315,562.3111,186.087,0.0268,0.0001,0.0188,0.005,0.0269,0.108,0.9458,0.0143,0.0125,0.0261,0.0369,0.2809,22.7321,0.3343,0.8209,-4.7213,0.3351,3.1933,0.1799
150.9165,142.2782,157.9,0.0214,0.0002,0.02,0.0079,0.0054,0.0435,1.1216,0.0318,0.0195,0.0814,0.1042,0.0671,25.9833,0.6103,0.7309,-6.1553,0.3284,3.1116,0.111
133.2638,244.2885,101.4119,0.0109,0.0002,0.0021,0.0193,0.0193,0.0548,0.5936,0.0234,0.0693,0.038,0.106,0.2477,24.1638,0.409,0.6817,-3.9741,0.2813,2.6129,0.124
155.5643,203.897,80.5278,0.004,0.0002,0.0198,0.0116,0.0298,0.0903,0.2447,0.0374,0.059,0.0631,0.0733,0.0677,16.2248,0.3598,0.6378,-4.6654,0.1341,3.0958,0.1042
133.7412,302.8537,143.6311,0.0239,0.0003,0.0021,0.0147,0.0495,0.1181,0.6121,0.0212,0.0431,0.0768,0.0642,0.2681,28.5477,0.5807,0.5867,-3.3269,0.2112,3.5412,0.144
208.9347,383.9809,67.2929,0.0227,0.0002,0.0086,0.0157,0.0546,0.0255,0.3676,0.006,0.069,0.0697,0.1311,0.2847,22.3325,0.4421,0.6196,-6.9246,0.3426,2.9116,0.3534
137.0197,321.1334,110.8954,0.0164,0.0,0.0023,0.0089,0.0498,0.1047,0.4832,0.0409,0.0139,0.1073,0.02,0.2005,26.3024,0.5139,0.7899,-6.1407,0.1424,2.9349,0.4753
175.7112,510.647,159.2806,0.0084,0.0,0.0142,0.0018,0.0022,0.0946,0.1701,0.0113,0.017,0.0166,0.0621,0.289,20.8199,0.3993,0.6054,-4.1891,0.3651,2.3508,0.1147
195.3348,363.1701,92.5291,0.0078,0.0002,0.0137,0.0182,0.0245,0.1029,0.9182,0.0405,0.0129,0.0412,0.1208,0.0891,22.1388,0.4178,0.6517,-4.5435,0.1117,1.952,0.2273
187.9027,267.5728,154.7014,0.0028,0.0,0.0045,0.0184,0.0386,0.0902,1.0476,0.0191,0.0578,0.1063,0.0908,0.301,16.248,0.4977,0.7954,-3.3692,0.3378,3.4559,0.435
111.0467,128.2137,159.4055,0.0327,0.0002,0.0011,0.0053,0.0596,0.1102,1.1202,0.0356,0.0172,0.0167,0.0933,0.0249,19.6193,0.3738,0.7659,-7.093,0.1098,3.6298,0.4808
103.3898,507.8614,179.3824,0.0278,0.0001,0.0114,0.0121,0.0035,0.0914,0.2077,0.0367,0.0271,0.1003,0.1073,0.181,19.7153,0.5077,0.5993,-3.2295,0.1348,3.1435,0.0938
169.3658,245.1966,84.7804,0.0316,0.0002,0.0024,0.0163,0.0102,0.0619,0.1455,0.0378,0.0436,0.1065,0.0553,0.1159,22.4147,0.3609,0.78,-3.3111,0.1432,3.5793,0.2072
99.203,194.8823,182.2128,0.0298,0.0002,0.01,0.0019,0.0387,0.0234,0.8417,0.0093,0.0278,0.0672,0.1362,0.2998,9.3418,0.4965,0.7536,-6.4894,0.3485,2.7568,0.4231
154.0439,257.7454,94.2222,0.0064,0.0002,0.0188,0.0183,0.0247,0.075,0.9625,0.0564,0.0158,0.0852,0.1428,0.1329,11.6175,0.3763,0.7734,-3.7669,0.2012,2.7893,0.3761
215.5113,559.2185,83.5232,0.0123,0.0001,0.015,0.002,0.0521,0.026,0.1932,0.0564,0.0668,0.1187,0.0467,0.1084,16.8803,0.5018,0.7284,-6.8605,0.3285,2.3448,0.1626
91.6843,484.9163,73.5437,0.0123,0.0002,0.0195,0.0123,0.0588,0.1013,0.541,0.0305,0.02,0.0465,0.1068,0.0782,16.0067,0.628,0.5886,-3.2681,0.2592,1.9493,0.2346
163.059,543.5948,76.0548,0.0273,0.0002,0.0046,0.0187,0.0492,0.0521,1.0369,0.014,0.0688,0.0447,0.0558,0.2536,10.2149,0.459,0.7459,-3.3638,0.1891,3.6341,0.4005
166.662,180.0308,129.3971,0.0086,0.0002,0.0199,0.012,0.0112,0.1125,0.4588,0.0541,0.0235,0.0319,0.0739,0.2902,26.6239,0.6671,0.5766,-4.9035,0.4083,2.2836,0.4112
114.9615,380.6791,75.1949,0.0197,0.0,0.0055,0.0073,0.0463,0.0543,0.4918,0.0301,0.0519,0.0843,0.0362,0.1344,29.2683,0.3999,0.7887,-4.3438,0.1964,2.5114,0.503
170.4493,195.2369,139.9721,0.0116,0.0003,0.0164,0.0098,0.0403,0.0141,0.2518,0.0512,0.0605,0.0977,0.1604,0.2563,26.3133,0.2687,0.7287,-2.633,0.2639,3.274,0.3627
208.2983,271.4925,116.2718,0.028,0.0002,0.0199,0.0027,0.0382,0.0376,0.9839,0.044,0.0184,0.0468,0.026,0.1973,20.7905,0.4408,0.7992,-6.6407,0.378,2.8689,0.3539
104.9576,260.2218,178.6726,0.0112,0.0001,0.0142,0.0054,0.047,0.0814,0.0972,0.0147,0.0334,0.0932,0.0965,0.105,21.7999,0.66,0.6376,-7.0277,0.1029,2.3849,0.133
105.33,178.3593,99.1194,0.014,0.0002,0.0013,0.0148,0.014,0.0965,0.2285,0.0093,0.0664,0.1258,0.1147,0.0377,10.7097,0.3076,0.7796,-4.309,0.2484,3.5197,0.3585
144.3597,278.4478,136.2792,0.0329,0.0001,0.0097,0.0152,0.0224,0.0439,1.208,0.0146,0.0314,0.0802,0.1039,0.0453,23.7902,0.6187,0.7346,-4.7888,0.1609,1.9748,0.4753
201.0314,341.1786,160.9374,0.0224,0.0002,0.0188,0.0129,0.0167,0.0651,0.6544,0.0388,0.0671,0.0083,0.0354,0.108,15.7798,0.39,0.5758,-2.5005,0.2302,3.2876,0.3955
147.3892,424.1021,102.0111,0.0259,0.0003,0.0122,0.0025,0.0107,0.0478,0.745,0.0256,0.0448,0.0795,0.0151,0.2256,19.5426,0.6516,0.781,-3.6188,0.1617,1.8079,0.2671
97.1731,173.9697,145.3109,0.0032,0.0001,0.0164,0.01,0.0405,0.0669,0.6536,0.0215,0.0754,0.0238,0.1618,0.1339,8.9256,0.3732,0.7912,-3.989,0.15,2.8233,0.1819
217.3954,112.0988,142.9407,0.023,0.0002,0.0189,0.0128,0.0196,0.0565,0.402,0.0313,0.0463,0.1319,0.1398,0.2902,10.143,0.674,0.666,-5.077,0.1937,2.712,0.3866
204.1426,461.7531,163.8084,0.0249,0.0001,0.0212,0.0188,0.0144,0.039,0.8205,0.0106,0.0218,0.1042,0.1165,0.1709,9.8804,0.6353,0.65,-6.0038,0.339,2.9118,0.3696
168.2952,255.4493,74.8603,0.0225,0.0002,0.0034,0.0108,0.027,0.0516,0.3629,0.0465,0.0134,0.1216,0.0236,0.1193,9.0885,0.2733,0.7698,-3.8931,0.421,2.0735,0.3936
119.0136,532.4403,138.8657,0.0085,0.0002,0.0108,0.0074,0.03,0.0503,0.8717,0.0518,0.0564,0.0167,0.1252,0.0894,25.0939,0.4285,0.6603,-2.9295,0.0715,2.5335,0.5044
169.406,355.7761,100.2405,0.0111,0.0,0.0183,0.0155,0.0383,0.0645,0.8803,0.0226,0.0787,0.0347,0.1197,0.2545,24.3336,0.4117,0.7116,-6.3209,0.1068,3.412,0.252
105.9029,358.0925,193.7658,0.0317,0.0,0.0183,0.0093,0.0047,0.0389,1.1441,0.0163,0.017,0.062,0.1017,0.1286,11.1533,0.3171,0.6073,-4.3217,0.2248,1.7984,0.3025
191.1386,128.9296,111.5263,0.0026,0.0001,0.0193,0.0055,0.064,0.0228,0.3914,0.038,0.0777,0.0824,0.1422,0.2721,15.465,0.4088,0.6264,-4.3382,0.2398,3.3033,0.281
96.512,215.3193,80.7029,0.0292,0.0,0.0069,0.0103,0.0224,0.0973,0.4861,0.0052,0.0692,0.042,0.0722,0.0284,21.6686,0.5095,0.8044,-4.4178,0.113,2.3737,0.273
129.3186,264.5832,196.0587,0.0077,0.0001,0.02,0.0048,0.0419,0.1091,0.9254,0.0392,0.0104,0.1238,0.1149,0.2356,27.7671,0.3843,0.7778,-7.0933,0.2259,1.7795,0.3641
182.6018,456.3386,135.2392,0.0124,0.0002,0.0133,0.0113,0.064,0.0592,0.7438,0.0229,0.0475,0.0492,0.037,0.1548,23.74,0.3958,0.6039,-2.862,0.3288,2.6272,0.4668
93.5174,296.8941,183.72,0.011,0.0002,0.0156,0.0117,0.0245,0.0967,0.4133,0.0329,0.0069,0.1088,0.0893,0.0698,20.326,0.3754,0.6431,-4.5323,0.1511,3.3906,0.2395
174.7948,431.9787,73.7219,0.014,0.0001,0.0026,0.0071,0.0596,0.0248,0.7166,0.0134,0.0605,0.0574,0.0963,0.0082,21.6802,0.349,0.5765,-6.5079,0.4305,3.5554,0.1386
197.1061,488.064,70.1039,0.0304,0.0,0.0014,0.019,0.022,0.0948,0.2165,0.0134,0.0237,0.1001,0.0441,0.2253,8.4626,0.3322,0.717,-5.2083,0.2734,1.8142,0.0944
220.1162,275.4117,112.5909,0.0109,0.0001,0.013,0.0046,0.0625,0.0262,0.6414,0.0268,0.0152,0.1194,0.0742,0.1081,9.4018,0.5024,0.7778,-4.3571,0.2661,2.3458,0.5088
96.9295,267.5922,126.2,0.0319,0.0002,0.0052,0.0123,0.023,0.0191,0.7153,0.0048,0.0058,0.1273,0.1568,0.1109,11.1305,0.4114,0.6553,-5.8033,0.2685,2.2784,0.2378
142.3251,254.3251,82.1018,0.0099,0.0001,0.0209,0.0143,0.0587,0.098,0.723,0.0373,0.0134,0.0531,0.1634,0.3095,19.9206,0.4865,0.7472,-3.3844,0.3951,2.9449,0.325
218.7541,190.2599,165.5483,0.0292,0.0,0.0208,0.0147,0.0209,0.0872,0.2363,0.0414,0.0152,0.1332,0.0936,0.0295,26.0671,0.5493,0.7216,-3.9024,0.1206,3.4861,0.12
167.2846,241.5991,107.2479,0.0252,0.0002,0.0029,0.0183,0.0637,0.0324,0.6418,0.0176,0.0705,0.0513,0.1353,0.1441,25.1822,0.3285,0.727,-5.8164,0.0894,2.6654,0.1223
174.4601,381.9436,169.2434,0.0057,0.0001,0.0178,0.0082,0.0271,0.04,0.6219,0.0536,0.0448,0.0379,0.1044,0.2532,25.8791,0.4646,0.6881,-5.7569,0.1609,3.167,0.2342
141.7627,534.1654,101.5667,0.0203,0.0001,0.0072,0.0065,0.0414,0.0404,0.1715,0.0351,0.0772,0.1288,0.0766,0.0131,16.1428,0.6783,0.6408,-6.8147,0.3767,2.1248,0.1419
158.2658,230.9366,69.2845,0.0157,0.0002,0.0046,0.0119,0.0291,0.0799,1.0099,0.0284,0.073,0.0312,0.0233,0.1034,15.2578,0.6255,0.8181,-6.8718,0.3476,1.9538,0.3631
125.4189,136.5808,197.2374,0.0085,0.0002,0.0208,0.0163,0.003,0.0551,0.0943,0.0382,0.0103,0.029,0.1676,0.2265,17.8141,0.47,0.7144,-2.7632,0.1632,3.3396,0.1848
158.9604,323.8027,158.5374,0.0295,0.0002,0.0114,0.017,0.0157,0.1142,0.7205,0.0242,0.0702,0.038,0.0771,0.1621,25.5739,0.4921,0.6133,-4.3383,0.143,3.4013,0.1072
158.2954,379.6423,99.8408,0.0066,0.0001,0.0055,0.0077,0.0556,0.0493,1.0861,0.0169,0.0358,0.0722,0.1346,0.0066,14.1003,0.478,0.5753,-4.7118,0.3286,2.6636,0.1122
214.3906,439.3519,178.3311,0.021,0.0002,0.0198,0.0067,0.0409,0.0151,0.4984,0.0529,0.0281,0.0557,0.072,0.1213,22.5424,0.5611,0.6078,-5.3672,0.14,2.5269,0.3859
109.9158,177.8381,94.9358,0.0211,0.0001,0.0185,0.0098,0.0391,0.0963,0.8937,0.0265,0.055,0.1319,0.1066,0.0343,22.0631,0.4997,0.7256,-3.7666,0.3474,2.4486,0.287
152.8275,407.971,81.8583,0.0076,0.0001,0.0029,0.007,0.0341,0.0387,0.5033,0.0439,0.0345,0.0638,0.1163,0.1131,11.1943,0.3223,0.7703,-3.6267,0.2934,3.6126,0.3893
190.6017,347.7588,160.0261,0.0326,0.0,0.006,0.0069,0.0633,0.0692,0.1711,0.017,0.0239,0.1264,0.128,0.1245,27.8261,0.6264,0.7109,-5.317,0.1379,3.1238,0.4287
191.1113,130.1491,94.3841,0.007,0.0002,0.0111,0.0043,0.0489,0.021,0.1054,0.0531,0.0083,0.0904,0.1443,0.0328,18.7555,0.6612,0.7628,-6.085,0.316,3.4718,0.3983
203.9319,558.8389,148.2557,0.0114,0.0001,0.0133,0.0012,0.0358,0.0651,0.2086,0.0197,0.0154,0.0627,0.151,0.1643,10.911,0.6773,0.6271,-6.7798,0.1265,1.7919,0.2982
164.1047,456.3419,93.7356,0.0324,0.0,0.0086,0.011,0.0521,0.0406,0.9606,0.0281,0.0191,0.1271,0.0597,0.1832,14.7745,0.4086,0.6,-3.7153,0.2983,2.4688,0.2267
123.403,422.0791,165.6037,0.0296,0.0001,0.0161,0.0188,0.0135,0.0153,0.226,0.0304,0.0712,0.0678,0.1108,0.0395,13.942,0.5188,0.6375,-3.5374,0.0958,3.5822,0.187
172.6675,573.2335,132.5183,0.023,0.0002,0.011,0.0142,0.0149,0.0241,0.7408,0.0368,0.0657,0.0145,0.1443,0.139,8.517,0.4448,0.6171,-4.4368,0.3333,1.9495,0.2845
93.9404,528.9594,92.4224,0.0039,0.0002,0.0207,0.008,0.0246,0.04,0.8406,0.0123,0.0702,0.0626,0.0855,0.152,11.1669,0.5272,0.6496,-5.6562,0.2956,2.9479,0.3427
158.8066,285.7358,102.6803,0.0038,0.0001,0.0154,0.0077,0.0516,0.0829,0.4067,0.0273,0.0674,0.0884,0.156,0.084,22.5648,0.5122,0.7058,-4.3966,0.1566,3.3069,0.5068
111.9631,151.258,81.8461,0.0185,0.0,0.0131,0.0168,0.0507,0.0856,1.1809,0.0234,0.0766,0.0474,0.0517,0.0703,9.3505,0.6498,0.6487,-6.5425,0.2307,2.242,0.2273
100.4864,534.6785,165.8881,0.0032,0.0001,0.0192,0.0141,0.014,0.112,0.6723,0.0091,0.0228,0.1231,0.1527,0.0837,28.4201,0.3598,0.822,-4.824,0.4166,3.503,0.19
110.7677,142.7286,83.1328,0.0316,0.0002,0.0077,0.0047,0.051,0.0256,1.17,0.0174,0.0665,0.0225,0.0172,0.058,10.6595,0.333,0.7227,-2.8042,0.2893,3.4603,0.5216
194.3968,466.2691,110.1685,0.0141,0.0002,0.0184,0.0089,0.0051,0.1007,0.9255,0.0085,0.0428,0.045,0.0347,0.2299,8.4981,0.271,0.8154,-5.0226,0.4217,3.0779,0.3574
218.9826,339.011,93.5473,0.0297,0.0001,0.0206,0.0053,0.0077,0.0308,0.945,0.0225,0.0429,0.0902,0.1526,0.1477,13.866,0.4325,0.7451,-3.2316,0.3807,2.5224,0.4794
152.1768,379.0976,113.0385,0.0315,0.0002,0.0199,0.0149,0.0324,0.0143,1.0239,0.0535,0.0668,0.0671,0.1111,0.0491,8.8744,0.3233,0.709,-3.8649,0.2267,3.6451,0.1987
98.1605,436.4213,176.1512,0.0265,0.0,0.0183,0.0135,0.0183,0.0724,0.8858,0.0248,0.074,0.0701,0.0671,0.2831,25.3842,0.6836,0.7154,-3.2379,0.1396,2.675,0.3789
172.3285,445.4931,176.2652,0.0114,0.0,0.0052,0.0154,0.0524,0.0182,0.7776,0.0548,0.0605,0.0769,0.0338,0.1848,27.4883,0.5441,0.8044,-5.3006,0.3185,1.9142,0.4705
105.7948,229.4155,125.0489,0.0295,0.0001,0.0035,0.0165,0.0046,0.0574,0.1525,0.0054,0.0421,0.0658,0.067,0.1311,13.1253,0.5068,0.6142,-6.7382,0.3388,3.4887,0.497
151.4162,493.7223,150.4198,0.0101,0.0003,0.0038,0.0159,0.0042,0.0145,0.7252,0.0525,0.0398,0.0986,0.0737,0.1873,27.8965,0.6013,0.6772,-3.1125,0.3183,2.3834,0.2323
192.6051,290.0569,120.6985,0.0037,0.0001,0.0057,0.0171,0.053,0.0666,1.0203,0.0169,0.0126,0.0389,0.0427,0.0302,28.6995,0.5247,0.5846,-6.6983,0.3052,3.4842,0.1164
205.3557,567.6366,180.7315,0.015,0.0002,0.0199,0.0135,0.0249,0.1033,0.846,0.0158,0.0137,0.0141,0.0595,0.1835,17.3739,0.5469,0.6731,-4.0113,0.2091,1.8139,0.1903
153.7462,441.2864,187.3739,0.0127,0.0002,0.015,0.015,0.0283,0.0672,0.6544,0.039,0.0248,0.0442,0.1364,0.1918,24.455,0.6459,0.7303,-4.9151,0.134,2.7165,0.5075
114.6101,251.2419,95.8159,0.0277,0.0001,0.0053,0.0129,0.0625,0.0579,0.4884,0.0553,0.0102,0.0815,0.0796,0.1933,15.7652,0.5591,0.7265,-4.3727,0.3853,2.1247,0.3732
189.4595,208.9073,178.265,0.026,0.0,0.0156,0.0195,0.0298,0.0324,0.9121,0.0552,0.024,0.0298,0.0588,0.289,12.3952,0.6201,0.815,-3.0338,0.2726,3.4074,0.1946
103.2625,160.4651,103.3879,0.0251,0.0001,0.0156,0.0043,0.0626,0.1189,0.3834,0.0359,0.0705,0.1335,0.0897,0.3038,18.19,0.3318,0.6916,-3.8015,0.2929,3.5647,0.2084
156.6623,256.7587,74.9777,0.0233,0.0001,0.0064,0.0032,0.0436,0.0612,1.156,0.0101,0.0088,0.1074,0.0804,0.1281,25.8505,0.2911,0.6743,-4.5419,0.2004,2.4521,0.2694
187.6704,405.0446,119.4891,0.017,0.0001,0.0019,0.0044,0.0342,0.0813,1.1874,0.0432,0.0206,0.0707,0.1314,0.1327,15.5194,0.303,0.8123,-5.9009,0.1996,3.5902,0.4441
115.4186,251.7877,99.6675,0.0162,0.0,0.0205,0.0035,0.063,0.0565,1.2237,0.0324,0.0752,0.0648,0.0343,0.2939,15.3578,0.609,0.6369,-6.7502,0.2837,2.7565,0.2047
208.8427,555.5595,157.8137,0.0101,0.0,0.0123,0.0081,0.0048,0.0405,1.2094,0.0541,0.0657,0.069,0.0745,0.2372,25.4809,0.4811,0.6479,-5.9119,0.1198,2.8905,0.1688
151.8338,258.5799,167.7214,0.0034,0.0001,0.007,0.0083,0.0151,0.0684,0.3473,0.0247,0.0463,0.0696,0.0429,0.0292,25.8966,0.6496,0.6923,-3.3516,0.1918,2.954,0.3038
118.5144,192.6814,194.1241,0.0235,0.0001,0.0042,0.0016,0.0383,0.095,0.6248,0.024,0.0274,0.0395,0.1105,0.1705,23.5315,0.2968,0.7588,-5.1669,0.1595,1.9771,0.1123
173.805,539.1273,141.8054,0.0119,0.0002,0.0037,0.0155,0.0161,0.0896,0.1666,0.0523,0.0199,0.0682,0.105,0.065,28.9766,0.3447,0.6055,-4.6085,0.2569,2.1683,0.1611
214.9762,364.2667,156.5166,0.022,0.0002,0.0096,0.0013,0.0247,0.0108,1.1984,0.0186,0.0202,0.0928,0.0979,0.2162,17.2907,0.5443,0.6061,-5.1783,0.1726,3.3458,0.3819
219.1849,448.0757,67.5669,0.0143,0.0,0.0183,0.0113,0.0563,0.0968,1.1682,0.0486,0.0712,0.1048,0.0149,0.1931,11.949,0.6722,0.7827,-6.255,0.1572,1.8184,0.3731
90.4708,195.4222,169.2214,0.0023,0.0001,0.0016,0.0174,0.0168,0.0299,0.9743,0.0191,0.0331,0.0404,0.062,0.0706,24.8314,0.5485,0.6914,-4.1906,0.206,3.1096,0.3816
89.4857,116.1103,155.0331,0.0302,0.0,0.0108,0.0049,0.0566,0.0168,0.5307,0.0277,0.0338,0.1135,0.0995,0.1069,14.353,0.6791,0.789,-6.9054,0.2887,2.2475,0.4826
127.9292,333.2303,158.2204,0.0022,0.0001,0.009,0.0143,0.0331,0.0994,1.2237,0.0537,0.029,0.0292,0.0603,0.0091,15.9968,0.3212,0.6537,-4.4431,0.1637,3.3898,0.3355
124.4701,204.405,161.079,0.0292,0.0003,0.017,0.0136,0.0385,0.0262,0.6591,0.0198,0.057,0.0241,0.1138,0.0446,10.3981,0.5776,0.7527,-5.3045,0.3391,3.4621,0.2409
95.8449,107.7135,126.6258,0.017,0.0001,0.0025,0.0038,0.0088,0.1086,0.33,0.0168,0.0425,0.0756,0.0205,0.2404,24.1885,0.6827,0.7301,-3.846,0.2947,2.5911,0.2471
198.2607,397.8432,196.1395,0.0175,0.0002,0.0181,0.0072,0.0214,0.0682,0.4817,0.0186,0.0442,0.0741,0.0565,0.1431,16.3337,0.3667,0.7077,-2.4746,0.4159,3.5402,0.1412
215.9893,497.5719,112.956,0.0131,0.0001,0.0143,0.0081,0.0618,0.1156,1.134,0.0075,0.0312,0.0707,0.084,0.2038,21.1674,0.4165,0.657,-6.6315,0.2714,2.011,0.2077
117.4359,539.277,67.6393,0.0163,0.0001,0.0017,0.0194,0.0472,0.0668,1.1512,0.0512,0.0146,0.0873,0.0486,0.2578,27.0905,0.5453,0.7135,-4.6945,0.2478,2.6142,0.4293
154.9188,163.4414,139.1202,0.0102,0.0002,0.0026,0.0012,0.0491,0.1053,1.2813,0.0131,0.0547,0.0538,0.1471,0.0875,8.9194,0.6109,0.6483,-2.542,0.4183,2.1826,0.2741
205.1713,130.067,73.3953,0.0168,0.0,0.0212,0.018,0.0527,0.0809,0.588,0.0285,0.0388,0.0159,0.0215,0.213,20.5086,0.6088,0.7061,-6.3842,0.2884,2.1116,0.2194
179.7229,375.4348,88.2723,0.0057,0.0003,0.0008,0.0138,0.0601,0.037,1.3,0.0269,0.0321,0.0736,0.1195,0.1997,17.4859,0.6682,0.5894,-4.6297,0.1661,3.5498,0.4953
215.3034,463.4513,127.7474,0.0285,0.0001,0.0064,0.001,0.0571,0.1186,1.1161,0.0486,0.0763,0.0659,0.0476,0.1575,12.557,0.6169,0.7436,-6.9172,0.1114,3.3604,0.2422
